zona;marca;descripcion;calibre;fleje;precio;descuento;dinamica
Nunez;-;Cerveza fría;473 cc;3789.0;5.21;100;35% OFF
Nunez;-;Cerveza Andes Origen Oro 473 cc 1 X 473 mL;473 cc;3519.0;4.84;100;35% OFF
Nunez;-;Cerveza fría 1 X 473 mL;473 cc;3689.0;5.07;100;35% OFF
Nunez;-;Amstel Cerveza Lager Pura Malta 1 X 473 mL;473 ml;3189.0;4.72;100;30% OFF
Nunez;-;Heineken Cerveza Rubia 1 X 473 mL;473 ml;4579.0;9.69;100;100% OFF
Nunez;-;Cerveza fría 1 X 710 mL;710 ml;7899.0;7.24;100;35% OFF
Nunez;-;Cerveza Pampa Lager Lata 473ml 1 x 473 mL;473 ml;3009.0;3.19;100;50% OFF
Nunez;-;Schneider Cerveza Lager 1 X 710 mL;710 ml;4369.0;5.23;100;15% OFF
Nunez;-;Heineken Cerveza Rubia en Lata;710.0 ml;6869.0;8.23;100;15% OFF
Nunez;-;Corona Cerveza Tipo Lager;330.0 ml;4989.0;9.83;100;35% OFF
Nunez;-;1890 Cerveza Rubia 1 X 473 mL;473 ml;2439.0;4.65;100;10% OFF
Nunez;-;Cerveza Quilmes Clásica 710 cc 1 X 710 mL;710 cc;4059.0;4.58;100;20% OFF
Nunez;-;Corona Cerveza Cero 1 X 330 mL;330 ml;3819.0;6.95;100;40% OFF
Nunez;-;Cerveza Miller;473.0 ml;3979.0;8.42;100;100% OFF
Nunez;-;Miller Genuine Draft Cerveza 1 X 330 mL;330 ml;4384.52;13.29;100;100% OFF
Nunez;-;Antares Cerveza Ipa 1 x 473 mL;473 ml;4519.0;6.69;100;30% OFF
Nunez;-;Cerveza Quilmes 0% 473 cc 1 X 473 mL;473 cc;2369.0;3.01;100;40% OFF
Nunez;-;Stella Artois Cerveza Premium Lager 1 x 710 mL;710 ml;6859.0;9.67;100;100% OFF
Nunez;-;Schneider Bebida Refrescante Remix Limón 1 x 473 mL;473 ml;3079.0;6.51;100;100% OFF
Nunez;-;Rabieta Cerveza Helles Munich 1 X 473 mL;473 ml;4059.0;8.59;100;100% OFF
Nunez;-;Stella Artois Cerveza 1 x 330 mL;330 ml;4489.0;8.17;100;40% OFF
Nunez;-;Peroni Cerveza 1 X 330 mL;330 ml;5049.0;15.3;100;100% OFF
Nunez;-;Blue Moon Cerveza Belgian White;355 cc;5889.0;10.79;100;35% OFF
Nunez;-;Stella Artois Cerveza Pure Gold 1 x 473 mL;473 ml;3719.0;5.12;100;35% OFF
Nunez;-;Heineken Cerveza Original 1 X 330 mL;330 ml;4849.0;14.7;100;100% OFF
Nunez;-;Pampa Brewing Cerveza IPA Lata 473 ml 1 X 473 mL;473 ml;3509.0;4.83;100;35% OFF
Nunez;-;Asahi Cerveza Dry;330 cc;6129.0;18.58;100;100% OFF
Nunez;-;Cerveza Guinness Hop House;473 ml;4089.0;5.19;100;40% OFF
Nunez;-;Cerveza Patagonia Lager Del Sur 730 cc 1 X 730 mL;730 cc;7739.0;6.9;100;35% OFF
Nunez;-;Pampa Brewing Cerveza Honey Lata 473 ml 1 X 473 mL;473 ml;3129.0;6.62;100;100% OFF
Nunez;-;Cerveza Brahma Chopp Lata 354mlx1 1 X 354 mL;354 ml;1929.0;4.91;100;10% OFF
Nunez;-;Estrella Galicia Cerveza 0.0 Tostada Lata 330ml 1 x 330 mL;330 ml;4059.0;12.3;100;100% OFF
Nunez;-;Santa Fe Cerveza Rubia 1 X 473 mL;473 ml;3009.0;4.14;100;35% OFF
Nunez;-;Cerveza Patagonia Vera Ipa 473 cc 1 X 473 mL;473 cc;5439.0;11.5;100;100% OFF
Nunez;-;Brahma Cerveza Chopp;710 ml;4319.0;4.87;100;20% OFF
Nunez;-;Imperial Cerveza Golden;330 cc;3969.0;12.03;100;100% OFF
Nunez;-;Cerveza Stella Artois 0% 473 cc 1 x 473 mL;473 cc;3719.0;5.12;100;35% OFF
Nunez;-;Miller Cerveza Rubia 1 X 600 mL;600 ml;6469.0;10.79;100;100% OFF
Nunez;-;Amstel Cerveza Lager;710.0 ml;4529.0;4.15;100;35% OFF
Nunez;-;Ipa Cerveza Antares Especiales Sin Alcohol 1 x 473 mL;473 ml;6779.0;10.04;100;30% OFF
Nunez;-;Heineken Cerveza Sin Alcohol 1 x 473 mL;473 ml;3719.0;6.29;100;20% OFF
Nunez;-;Imperial Cerveza Negra Cream Stout en Lata 1 X 473 mL;473 ml;3799.0;8.04;100;100% OFF
Nunez;-;Pampa Brewing Nitro Cream Stout 473ml 1 X 473 mL;473 ml;3469.0;5.14;100;30% OFF
Nunez;-;Antares Cerveza Artesanal Honey 1 X 473 mL;473 ml;4529.0;6.71;100;30% OFF
Nunez;-;Warsteiner Cerveza Rubia 1 X 473 mL;473 ml;3949.0;6.27;100;25% OFF
Nunez;-;Salta Cerveza Cautiva Roja 1 X 473 mL;473 ml;3529.0;4.85;100;35% OFF
Nunez;-;Antares Cerveza Scotch 1 X 473 mL;473 ml;4569.0;6.77;100;30% OFF
Nunez;-;Grolsch Cerveza Pilsner 1 X 473 mL;473 ml;4489.0;7.12;100;25% OFF
