zona;marca;producto;descripcion;fleje;precio;descuento;dinamica
Nunez;-;Agregar;-;3789.0;5.21;100;35% OFF
Nunez;-;Cerveza fría;-;3789.0;5.21;100;35% OFF
Nunez;-;Patrocinado;-;3649.0;11.06;100;100% OFF
Nunez;-;Estrella Galicia Cerveza sin Gluten Lata 330ml;-;3649.0;11.06;100;100% OFF
Nunez;-;Heineken Cerveza Rubia;-;4579.0;9.69;100;100% OFF
Nunez;-;Michelob Ultra Cerveza;-;4279.0;10.9;100;30% OFF
Nunez;-;Cerveza Pampa Lager Lata 473ml;-;3009.0;3.19;100;50% OFF
Nunez;-;Schneider Cerveza Lager;-;4359.0;4.0;100;35% OFF
Nunez;-;Heineken Cerveza Rubia en Lata;-;6869.0;5.81;100;15% OFF
Nunez;-;Corona Cerveza Tipo Lager;-;4989.0;9.83;100;25% OFF
Nunez;-;1890 Cerveza Rubia;-;2439.0;4.65;100;10% OFF
Nunez;-;Cerveza Quilmes Clásica 710 cc;-;4059.0;4.58;100;20% OFF
Nunez;-;Corona Cerveza Cero;-;3829.0;6.97;100;40% OFF
Nunez;-;Cerveza Miller;-;3979.0;8.42;100;100% OFF
Nunez;-;Miller Genuine Draft Cerveza;-;4393.41;13.32;100;100% OFF
Nunez;-;Antares Cerveza Ipa;-;4519.0;6.69;100;30% OFF
Nunez;-;Schneider Cerveza Rubia Lager;-;3069.0;4.22;100;35% OFF
Nunez;-;Cerveza Quilmes 0% 473 cc;-;2369.0;3.01;100;40% OFF
Nunez;-;Stella Artois Cerveza Premium Lager;-;6869.0;9.68;100;100% OFF
Nunez;-;Cerveza Andes Origen Oro 473 cc;-;3529.0;4.85;100;35% OFF
Nunez;-;Schneider Bebida Refrescante Remix Limón;-;3079.0;6.51;100;100% OFF
Nunez;-;Rabieta Cerveza Helles Munich;-;4059.0;4.3;100;50% OFF
Nunez;-;Stella Artois Cerveza;-;4489.0;6.81;100;50% OFF
Nunez;-;Amstel Cerveza Lager Pura Malta;-;3179.0;6.73;100;100% OFF
Nunez;-;Blue Moon Cerveza Belgian White;-;5889.0;16.59;100;100% OFF
Nunez;-;Heineken Cerveza Original;-;4849.0;14.7;100;100% OFF
Nunez;-;Asahi Cerveza Dry;-;6129.0;18.58;100;100% OFF
Nunez;-;Cerveza Patagonia Lager Del Sur 730 cc;-;7739.0;6.9;100;35% OFF
Nunez;-;Pampa Brewing Cerveza Honey Lata 473 ml;-;3129.0;3.64;100;45% OFF
Nunez;-;Cerveza Brahma Chopp Lata 354mlx1;-;1929.0;4.91;100;10% OFF
Nunez;-;Estrella Galicia Cerveza 0.0 Tostada Lata 330ml;-;4059.0;12.3;100;100% OFF
Nunez;-;Santa Fe Cerveza Rubia;-;3009.0;6.37;100;100% OFF
Nunez;-;Cerveza Patagonia Vera Ipa 473 cc;-;5439.0;0.58;100;95% OFF
Nunez;-;Brahma Cerveza Chopp;-;4319.0;4.87;100;20% OFF
Nunez;-;Cerveza Stella Artois 0% 473 cc;-;3709.0;5.1;100;35% OFF
Nunez;-;Miller Cerveza Rubia;-;6469.0;10.79;100;100% OFF
Nunez;-;Amstel Cerveza Lager;-;4529.0;6.38;100;100% OFF
Nunez;-;Ipa Cerveza Antares Especiales Sin Alcohol;-;6779.0;10.04;100;30% OFF
Nunez;-;Imperial Cerveza Negra Cream Stout en Lata;-;3769.0;5.58;100;30% OFF
Nunez;-;Warsteiner Cerveza Rubia;-;3949.0;8.35;100;100% OFF
Nunez;-;Salta Cerveza Cautiva Roja;-;3539.0;7.49;100;100% OFF
Nunez;-;Antares Cerveza Scotch;-;4569.0;6.77;100;30% OFF
Nunez;-;Grolsch Cerveza Pilsner;-;4489.0;9.49;100;100% OFF
Nunez;-;Cerveza Stella Artois Noire 473 cc;-;4409.0;6.06;100;35% OFF
Nunez;-;Andes Origen Cerveza Negra en Lata;-;3679.0;5.06;100;35% OFF
Nunez;-;Cerveza Patagonia Amber Lager 473 cc;-;5609.0;7.71;100;35% OFF
Nunez;-;Cerveza Patagonia Amber Lager 730 cc;-;7749.0;6.9;100;35% OFF
Nunez;-;Imperial Cerveza Extra Lager;-;3619.0;5.36;100;30% OFF
Nunez;-;Rabieta Cerveza Red Honey;-;4089.0;7.78;100;10% OFF
Nunez;-;Pampa Brewing Amber Ale Lata 473ml;-;3209.0;6.11;100;10% OFF
Nunez;-;Pampa Cerveza Dorada Lata 473 ml;-;3169.0;3.69;100;45% OFF
Nunez;-;Kunstmann Torobayo Lata 470ml;-;5209.0;11.09;100;100% OFF
Nunez;-;Cerveza Quilmes Ipa 473 cc;-;2869.0;6.07;100;100% OFF
Nunez;-;Imperial Cerveza Ipa;-;3779.0;5.6;100;30% OFF
Nunez;-;Cerveza Patagonia Lager Del Sur 473 cc;-;5439.0;7.48;100;35% OFF
Nunez;-;Antares Cerveza Caravana Session Ipa;-;4539.0;6.72;100;30% OFF
Nunez;-;Stella Artois Cerveza 0%;-;3639.0;6.62;100;40% OFF
Nunez;-;Antares Cerveza Lager;-;3839.0;5.69;100;30% OFF
Nunez;-;Imperial Cerveza Ligera Golden;-;3579.0;5.3;100;30% OFF
Nunez;-;Salta Cautiva Cerveza Rubia;-;3519.0;7.44;100;100% OFF
Nunez;-;Rabieta Cerveza Irish Red Ale;-;4059.0;5.15;100;40% OFF
Nunez;-;Antares Kolsch Cerveza;-;4549.0;6.74;100;30% OFF
Nunez;-;Bitburger Cerveza;-;4919.0;14.91;100;100% OFF
Nunez;-;Miller Cerveza Genuine Draft en Lata;-;5959.0;5.04;100;40% OFF
Nunez;-;Grolsch Cerveza Ipa;-;4799.0;8.12;100;20% OFF
Nunez;-;Rabieta Cerveza Golden Ale;-;4059.0;4.72;100;45% OFF
Nunez;-;Blue Moon Belgian White Lata 473 ml;-;5299.0;11.21;100;100% OFF
Nunez;-;Kostritzer Cerveza Schwarzbier;-;7109.0;11.38;100;20% OFF
Nunez;-;Pack;-;31794.0;11.21;100;Pack
Nunez;-;Heineken Cerveza 0.0 Lata 330ml;-;3579.0;10.85;100;100% OFF
Nunez;-;Warsteiner Cerveza 330 ml;-;3509.0;10.64;100;100% OFF
Nunez;-;Cerveza Kunstmann Session Ipa 470ml;-;5049.0;10.75;100;100% OFF
Nunez;-;Combo;-;5298.0;5298.0;0;0% OFF
Nunez;-;Pack 35%;-;29934.0;9.83;100;35% OFF
Nunez;-;Pack 20%;-;16236.0;4.58;100;20% OFF
Nunez;-;Pack 40%;-;14214.0;3.01;100;40% OFF
Nunez;-;Pack 15%;-;27474.0;8.23;100;15% OFF
Nunez;-;Pack 10%;-;14634.0;4.65;100;10% OFF
Nunez;-;Pack 60%;-;32634.0;4.6;100;60% OFF
Nunez;-;Stella Artois Cerveza Pure Gold;-;4989.0;9.83;100;35% OFF
Nunez;-;Pack 30%;-;22674.0;5.6;100;30% OFF
Nunez;-;Pronto de vuelta;-;5079.0;7.16;100;100% OFF
