zona;marca;descripcion;calibre;fleje;precio;descuento;dinamica
Nunez;-;Cerveza fría;473 cc;3689.0;5.07;100;35% OFF
Nunez;-;Heineken Cerveza Rubia 1 X 473 mL;473 ml;4559.0;9.64;100;100% OFF
Nunez;-;Cerveza fría 1 X 710 mL;710 ml;7899.0;7.24;100;25% OFF
Nunez;-;Miller Genuine Draft Cerveza 1 X 330 mL;330 ml;4386.08;13.3;100;100% OFF
Nunez;-;Cerveza Pampa Lager Lata 473ml 1 x 473 mL;473 ml;3009.0;3.19;100;50% OFF
Nunez;-;Cerveza fría 1 X 473 mL;473 ml;3399.0;5.03;100;30% OFF
Nunez;-;Heineken Cerveza Rubia en Lata;710.0 ml;6879.0;8.24;100;15% OFF
Nunez;-;Corona Cerveza Tipo Lager;330.0 ml;4989.0;9.83;100;25% OFF
Nunez;-;1890 Cerveza Rubia 1 X 473 mL;473 ml;2439.0;4.65;100;10% OFF
Nunez;-;Cerveza Quilmes Clásica 710 cc 1 X 710 mL;710 cc;4059.0;4.58;100;20% OFF
Nunez;-;Corona Cerveza Cero 1 X 330 mL;330 ml;3829.0;6.97;100;40% OFF
Nunez;-;Cerveza Miller;473.0 ml;3979.0;8.42;100;100% OFF
Nunez;-;Antares Cerveza Ipa 1 x 473 mL;473 ml;4519.0;6.69;100;30% OFF
Nunez;-;Michelob Ultra Cerveza 1 x 275 mL;275 ml;4279.0;10.9;100;30% OFF
Nunez;-;Schneider Cerveza Rubia Lager;473.0 ml;3079.0;6.51;100;100% OFF
Nunez;-;Cerveza Quilmes 0% 473 cc 1 X 473 mL;473 cc;2369.0;3.01;100;40% OFF
Nunez;-;Stella Artois Cerveza Premium Lager 1 x 710 mL;710 ml;6859.0;9.67;100;100% OFF
Nunez;-;Cerveza Andes Origen Oro 473 cc 1 X 473 mL;473 cc;3519.0;4.84;100;35% OFF
Nunez;-;Rabieta Cerveza Helles Munich 1 X 473 mL;473 ml;4059.0;4.3;100;50% OFF
Nunez;-;Stella Artois Cerveza 1 x 330 mL;330 ml;4489.0;8.85;100;35% OFF
Nunez;-;Peroni Cerveza 1 X 330 mL;330 ml;5039.0;15.27;100;100% OFF
Nunez;-;Amstel Cerveza Lager Pura Malta 1 X 473 mL;473 ml;3199.0;4.74;100;30% OFF
Nunez;-;Blue Moon Cerveza Belgian White;355 cc;5889.0;16.59;100;100% OFF
Nunez;-;Heineken Cerveza Original 1 X 330 mL;330 ml;4849.0;14.7;100;100% OFF
Nunez;-;Asahi Cerveza Dry;330 cc;6129.0;18.58;100;100% OFF
Nunez;-;Cerveza Patagonia Lager Del Sur 730 cc 1 X 730 mL;730 cc;7739.0;6.9;100;35% OFF
Nunez;-;Pampa Brewing Cerveza Honey Lata 473 ml 1 X 473 mL;473 ml;3129.0;3.97;100;40% OFF
Nunez;-;Cerveza Brahma Chopp Lata 354mlx1 1 X 354 mL;354 ml;1899.0;4.83;100;10% OFF
Nunez;-;Estrella Galicia Cerveza 0.0 Tostada Lata 330ml 1 x 330 mL;330 ml;4059.0;12.3;100;100% OFF
Nunez;-;Santa Fe Cerveza Rubia 1 X 473 mL;473 ml;3009.0;6.37;100;100% OFF
